title,desc
Private Maturan (1959),A famous singer is conscripted and receives training from a barking veteran drill sergeant.
Blessings of the Land (1959),"Maria and Jose, a young married couple begin life together in an orchard in the countryside. It isn't long until they have four children: Miguel, Arturo, Angelita, and Lito. The eldest, Miguel, is a deaf-mute. Life is good for the family and the children grow up and bring joy to the community. But trouble enters their lives when Jose makes an enemy of Bruno, a widower, much feared in the village."
Dahlia (1960),A Story of boy meets girl
Kung Ako'y Mahal Mo (1960),"Ramon is wrongfully imprisoned after killing a man who was attempting to rape a woman he witnessed while driving down a dark highway. That woman, Lydia, fails to testify in his defense and Ramon vows to never forgive that person ever again. Their fates become intertwined after both fall in love with each other, unbeknownst to their past accident."
Oh! Sendang (1961),A story about widower Mang Nano and his special child Bitoy. Every time a mishap happened the father would cry out to the picture of his departed wife Sendang.
Noli me Tángere (1961),Based on the revolutionary novel by Jose Rizal.
Jam Session (1962),"4 big stars and your favorite combos do the TWIST, the FLY, and the PACHANGA in the MOST JOYOUS MUSICAL COMEDY!"
Genghis Bond: Agent 1-2-3 (1965),"A story about an agent named Genghis Bond who was sent on a mission, the criminals mistook a coffin salesman who looked like Genghis Bond and held him captive now Genghis Bond needs to act like the salesman to safeguard his identity."
Ex-Convict (1967),"A story about a man falsely convicted of a crime, who then escapes and does his best to prove his innocence."
Dugo Sa Buhangin (1967),"Now the Hunter, soon the Hunted... A man in a fantastic race with quick guns, fast women, and swift death, and always, blood soaked the sands."
Facifica Falayfay (1969),"A young boy, Facifica is raised as a girl by his mother, Aling Kobay, who had been longing for a daughter. When Facifica’s mother dies, his brothers tries to teach him combat skills and how to act like a ""real man."" Later, he meets Pilar, a movie star that Facifica idolizes. He falls in love with her and feels the need to protect her."
Devil Woman (1970),A woman is born with the power to control snakes. She uses these powers to seek revenge on the villagers who killed her parents along with the help of a local gang.
Captain Barbell (1973),"Tenteng, a bullied wimp who dreams of being a strongman, gains superpowers from a magical barbell."
John & Marsha (1974),John and Marsha first movie.
Peter Pan deSal (1976),"Peter, a cute little boy who sells bread for his crippled mother meets Pete, an ex convict that wanted to have a new life."
John & Marsha '77 (1977),John en Marsha movie.
Mga Mata ni Angelita (1978),Mga Mata ni Angelita was written by Ricardo Feliciano and became a number one hit radio drama from 1974 to 1978. It was made into a film by Larry Santiago Productions and catapulted Julie Vega into fame.
"Ina, Kapatid, Anak (1979)","When her half-sister Emilia succeeded in seducing her boyfriend 20 years ago, Pura decided to fly to the United States. Now, she returns to her hometown to see her ailing father. Her surprise visit opens up old wounds and revives the sibling rivalry between her and her half-sister who will not let her forget that she is a bastard."
Buhay Artista Ngayon (1979),"Buhay artista ngayon: Directed by Frank Gray Jr.. With Dolphy, Vilma Santos, Freddie Quizon, Babalu."
Problem Child (1980),"Sylvia, the beautiful middle-aged socialite whose string of lovers and public separation made her the center of Manila’s gossip mill."
Aguila (1980),Daniel Aguila's son recounts memories of the Philippines as he searches for his father.
Temptation Island (1980),"A group of beauty contest finalists stranded in a desert island without food, water and shelter."
Katorse (1980),"She's a child, a woman and a mother at 14."
Kalibre .45 (1980),The .45 caliber gun becomes a hero's instrument for justice.
Under-age (1980),"Three Sisters Corazon,Cecilia and Celina are students of the school. Corazon allways never think about men until a pouplar student came for her Second Sister Cecilia was rebellous kid who was with A Handsome teacher Professor David who having a girlfriend but he fall in love with Cecilia and Third sister Celina who nickname Diva by male admirers who fall in love with Migs however they faced real world to become women."
Age Doesn't Matter (1981),a film by Mike Relon Makiling.
A Man Called Tolongges (1981),"A 1981 Filipino Western film starring George Javier, Pia Moran, and Redford White."
Ibalik Ang Swerti! (1981),A bank teller and avid detective-story reader lives out her sleuthing fantasies when she meets real-life bank robbers.
Laya (1981),"An ex-convict in search of a new life is caught in the tangled web of love, hate, and intrigue."
Bakit Ba Ganyan? (1981),"Director: Joey Gosiengfiao Stars: Dina Bonnevie, Albert Martinez, Cynthia Patag"
Andres De Saya (Mabagsik na Daw!) (1982),"A henpecked husband rejoiced his freedom and changed his image after his wife decided to leave home. He remarries, but only to make matters worse again in marriage."
"I Love You, I Hate You (1982)",Maricel Soriano plays the role of a young woman pursued by two suitors whose respective qualities make it difficult for her to choose one over the other.
Haplos (1982),"Al is a balikbayan who returns to his former hometown where his mother is buried. There he meets his childhood friend Cristy who works as a counselor for family planning. Eventually they develop a romantic relationship and end up as a couple. However, a mysterious lady appears one day while Al tends to his mother’s grave. Al falls in love with the stranger and is now torn between her and Cristy."
Moral (1982),"The episodically connected lives of four college friends unfold throughout the incipient martial law years, as they struggle to define their sexual and professional desires and how best to attain them."
Strangers in Paradise (1983),"A girl grew up alone in a secluded island, ostracized by the people for being born out of wed lock. A young Hawaii-based Filipino-speaking tourist came and brought her to Hawaii where she learns an unexpected truth about her past."
To Love Again (1983),"Forced by her father to marry a man she does not love in order to save him from financial ruin, Raffy runs away. Left with no choice but to fend for her own self, she takes on a secretarial job in a mining company. There she meets Bullet, an adventurous young man who, like her, has left home in order to save himself from a loveless arranged marriage. Together, Raffy and Bullet go through life. Coping up with it's ups and downs, learning about forgiveness, and discovering love in the process."
Saan Darating Ang Umaga? (1983),"After years of trying to have a son, a couple finally decides to adopt one. While Shayne their only child is receptive at first, she finds herself getting increasingly jealous of Joel who has become the couple's center of attention. Shayne realizes that her adopted brother is no threat at all when he demonstrates his affection for her. But just when harmony is restored in the family, tragedy strikes during a beach excursion."
Init sa Magdamag (1983),"About a woman who changes personality to please the man she's with, and about the man who brings her sexuality to full bloom."
Omens (1984),"Signos (1984) is a Super 8mm film documentary that was a true product of its time, a collaboration by film artists and writers, who, in spite of varying political persuations, were united by one common goal – ousting the reviled Marcos regime. It features interviews of courageous personalities who challenged the autocratic rule of the Marcos family."
Teenage Marriage (1984),"Two teenage couples realize that marriage isn't child's play and takes maturity and selflessness, as well as love, to make it work."
Bagets (1984),"Experiencing the forbidden. Experiencing rejection. Hating your parents. Hating the world around you. Discovering what's hot. Discovering what's cool. Discovering your first true love. Discovering who you are. Growing up can be such a wild time. But not when you've got the best guys to hang out with. Five chaste young men immerse themselves in the superficialities and superfluity of adolescence over the course of their last year in high school. But as they make their gradual transition from boyhood to manhood, they realize it is their formidable bond that stands as the real deal."
Batuigas II: Pasukuin si Waway (1984),"Leonardo de los Reyes gets framed by some hoodlums for murder, he escapes from prison and gets revenge to the people who harmed him."
History of Philippine Cinema (1984),"An unfinished documentary by the late great film critic and historian Agustin ""Hammy"" Sotto. Hammy passed away in 2001 at the age of 51"
Working Girls (1984),Women cope with various problems while earning a living in the city.
Bukas Luluhod Ang Mga Tala (1984),"Rebecca is born to a poor family, a young woman whose life is defined by poverty and deprivation. But of the many things she has to endure, it is the insults that other people hurl that hurt the most. Yet despite of everything, Rebecca remains ambitious and unabashed. She pledges to herself that she will one day raise herself and her family from poverty and when that time comes, she will get back at those who had oppressed them."
Hotshots (1984),This is a story of adolescent boys and girls and their early experiences in life and love. How they took life's realities and learned its lessons.
14 Going Steady (1984),Three high school girls on the verge of adolescence.
John en Marsha '85 sa Probinsya (1985),"When his country-dwelling aunt takes to a sick bed, John (Dolphy) and the rest of the Puruntong clan head to the hinterlands for an extended stay. Can the fish-out-of-water family overcome the culture shock of rural life without killing one another? Nida Blanca, Matutina, Rolly Quizon and Maricel Soriano reprise their roles in this Filipino comedy based on the popular 1980s TV series ""John and Marsha."""
"Mama Said, Papa Said I Love You (1985)","A 1985 Mother's Day offering from Regal Films: a comic, musical relief with the wacky trio of Tito, Vic, and Joey, and their spouses and children."
Ma'am May We Go Out? (1985),"Soriano brothers Dennis, Chipipoy/Chip, and Jeff are bums who do odd jobs to earn a living, including driving a jeepney. Their lives take a different turn after meeting Atty. Aga Agaton, who told them that they are long-lost heirs of a US-based millionaire. Per the millionaire's will, the brothers would claim his inheritance as long as they finish high school or else the lawyer will take it all. The brothers enroll at the Rajah Putih High School where their age turns them into the butt of their classmates' jokes. The brothers eventually befriend a group of students after saving them from thugs. They also seek help from Einstein, the class' resident genius, in order to get away with the most difficult subjects. - Written by ledster"
Zuma (1985),A group of archaeologists unearth a snake god who then brings destruction on anything against his way.
Vic Silayan: An Actor Remembers (1985),"Silayan talks about his beginnings as an actor in the 1950s, his working method in front of the camera and on stage and the realities of working in mainstream Philippine movies."
The Lethal Hunt (1985),Ben Serrano known as a brave heroic cop of Metro Manila until something happened changed his life. During a car-chase he accidentally crashes to the another vehicle including the child of a rich family killed by car accident. Now a desperate family vows revenge against Serrano forced to go in jail forever or to be killed by the family who needs justice. Serrano will take matters to his own hands to fight against all odds.
"Yesterday, Today & Tomorrow (1986)","After a string of unsuccessful relationships, Corina married Teddy, an old widow whose daughter, Ana and sister Julita never approved of his new wife. An assertive young stepmother, a rebellious stepdaughter, and a working wife whose career provides tension between the wife and her husband are the portraits of the strong-willed woman of the 1980s."
Praybet Depektib Akademi (1986),A 1986 Filipino action comedy.
John en Marsha Tnt sa Amerika (1986),"Struggling to make ends meet, John (Dolphy) decides to seek his fortune in the United States, with son Rolly (Rolly Quizon) in tow. After narrowly avoiding deportation, he takes a job in a factory, unaware that it's a front for one of the country's biggest drugs."
Paalam... Bukas Ang Kasal Ko (1986),"Charo and Raffy are lovers when she starts seeing another man, Paul. Charo knows what she is doing is wrong. Enraged, one-night Raffy not finding Charo, drives his car to look for her. He met an accident and died instantly. Raffy's family blames Charo for their son's early demise. To save face, Charo avoids Paul. After all, it's her infidelity that drove Raffy crazy."
Inday-Inday sa Balitaw (1986),"Abandoned by her mother, Inday suffers many hardships during her childhood. She tries to despise her mother, Monina, who seems to not care that she left her child years earlier."
Magnum Muslim .357 (1986),"Lt. Jamal is a Muslim undercover police officer, who is sent to Manila to help curb the runaway crime rate. Convinced of his abilities as an undercover agent, he is summoned by Col. Castro to assist in unmasking the head of a big and vicious syndicate. In Manila, he is assigned as a bodyguard to a Police Major, who is also his contact, but two syndicate members beat him to the job."
Super Islaw and the Flying Kids (1986),"Super Islaw was a young crippled boy who was granted mystical powers because of his good heart. He used these abilities to protect the innocents of his town, battling supernatural beings such as vampires."
"No Blood, No Surrender (1986)","After the war, Sgt. Samson is to deliver a letter to the wife of a friend who died in the war. Shortly after he arrives in Santo Sepulco he is beaten and thrown out of town. From now on, he is pursued by the mayor and the police chief and his men. His old soldier instinct is awakened and a fight to the death begins."
Legend of the ninja-col (1986),"Alamat ng ninja-kol: Directed by Angel Labra. With Chiquito, Marilou Bendigo, Cachupoy, Bembol Roco. THE COMEDY TAKES OFF IN THE REVERED TRADITION AND DISCIPLINE OF THE JAPANESE NINJA WARRIORS."
Nakagapos na Puso (1986),"A young woman who all her life has lived under the shadow of her sister, a sister who is not only older but more assertive more intelligent and more appreciated. She knows that even with her best effort she cannot compete with her. Everything is fine with her she is after all more at peace with her kind of uncomplicated existence. But even the most submissive and most patient of people can only take so much. The day comes when she realizes that for her to live her own life she must end her meekness and learn to speak up."
"Gabi Na, Kumander (1986)","Gabi Na Kumander is the story of two brothers with opposite beliefs who suddenly find themselves in a fight for what each one believes is right. Ramil Macan had been assigned to fight the rebels in Sto. Nio and he discovers that the rebel leader is no other than his younger brother, whom he had given up for dead years ago. Ronald Macan, former law student and activist, took to the hills with the imposition of martial law. He is known as Kumander Kobra. Ramil had been assigned to put a stop to his activities and in the name of the law to take him dead or alive."
Halimaw Sa Banga (1986),"Two young boys discovered an ancient book in a dilapidated mansion. Unaware, they have unleashed the cursed warrior(halimaw) character in the book upon reading. The bloodthirsty demon went on a killing spree in the darkness of night. Discovering that the murders were done by the halimaw in the book, Kokoy, the protagonist, must act fast to put an end to the unwanted trespasser and protect his home and family. Subsequent to this is a variant story of an ancient jar which dated to a period when the dead were buried in jars. This particular jar was cursed as, a lady believed to be, a witch was killed and buried in it. The witch(halimaw) pledged vengeance in her awakening, thereby freeing her spirit gradually from the jar as it traps anyone who unluckily chances upon the jar."
Captain Barbell (1986),A crossover team-up between Captain Barbell and Darna.
Bunsong kerubin (1987),"Bunsong kerubin is a 1987 Tagalog-language Drama film written by Pablo S. Gomez and Jose Javier Reyes. The movie is directed by Luciano B. Carlos. Bunsong kerubin features Susan Roces, Matet De Leon, Lotlot De Leon, Ronaldo Valdez, William Martinez, Roderick Paulate and Anzewelle Macrohan. It was released on 1st May 1987."
Balweg The Rebel Priest (1987),"Conrado Balweg, dedicated himself to the service of God but while he was assigned as a parish priest in Cordillera in the Mountain Province, events transpiring around him forced him to take up arms to rescue his people from the greed of developers from the lowlands, and from a government who was unsympathetic to the plea of the indigenous tribes to save their ancestral lands. In the war which ensued with the arrival of the military forces, Fr. Balweg was forced out of his parish and into the mountains, where he later became one of the most charismatic of leaders, admired by the masses, hated by the government and loved by many women."
Pinulot Ka Lang sa Lupa (1987),"It is a story of Angeli (Maricel Soriano), an orphan girl raised by a wealthy widower, Diony (Eddie Garcia). Angeli's hardships as a child left her to be a possesive and selfish woman. Diony has an only son, Efraim (Gabby Concepcion). Angeli adores Efraim since childhood. Efraim and his dad have made Angeli the apple of their eyes. Santina (Lorna Tolentino) comes later in the picture and leaves Angeli vying head to head for the attention of his dad and the man he loves. Will Angeli win over Santina's delicate charm? Or will she be forced to accept where she really came from? Will Efraim pick Angeli over Santina?"
"Takot Ako, Eh! (1987)",A story about a family whose mother passed away and the father whose an inventor who built a time machine in search of a new mother for his children.
Bakit Kinagat Ni Adan Ang Mansanas Ni Eba? (1988),A man becomes pregnant when he has sex with his wife for the first time.
Love Letters (1988),A 1988 Filipino romantic drama anthology film starring the hottest love teams of the time: Lotlot de Leon and Ramon Christopher star in Till Death Do Us Part; Tina Paner and Cris Villanueva team up in Invisible Lover; and Manilyn Reynes and Janno Gibbs pair up in Eternally.
Petrang Kabayo at ang Pilyang Kuting (1988),"At the age of 21, Petra will transform into a horse. This is a fulfillment of the curse Silveria, the goddess of horses, put upon Kulas, Petra's father, after she caught him maltreated a horse. And the curse will only be lifted if Petra will do three heroic deeds."
Ompong Galapong (1988),DOLPHY PLUS REDFORD WHITE EQUALS RIOT - TOGETHER FOR THE FIRST TIME - COMEDY KING DOLPHY PLAYS ONCE MORE A FAVORITE CHARACTER WHICH HE HAS CREATED FOR THE BIG SCREEN.
Sa Puso Ko Hahalik Ang Mundo (1988),"Three sisters Amalia, Aurora and Betty were separated from each other because of the death of their parents. Destiny will guide them to meet again but with hardships during the journey. Will they find their way to see each other again and reunite?"
Me And Ninja Liit (1988),Zsa Zsa is a beautician who has no knowledge of his past. Little does he imagine that he comes from a line of great Ninjas. He is supposed to be the heir to the secret of his clan along with his diminutive sister. - Written by ledster
Magic to Love (1989),Romance and fantasy mix in this comedy that shows how a heaven-sent cupid tries to seal the romances between two pairs of young lovers.
On Borrowed Time (1989),"A determined single parent, she manages to raise a child while remaining successful in her career as an advertising executive. Everything in her life seems to go well until she is diagnosed with a terminal disease. For her son’s sake, and without revealing her condition, she is forced to resolve her most important life relations: rekindling first her connections with her parents, and then with the very man who fathered her son."
Balbakwa (1989),"A 1989 Filipino comedy film starring Dolphy, Panchito, and Babalu."
"May pulis, may pulis sa ilalim ng tulay (1989)",A comedy movie of funny misfortunes that befall two city cops.
Isang Araw Walang Diyos (1989),"A cult called Wakwak headed by Papa Mundo is ready to kill and be killed to fight for their beliefs. It is a religious battle for their leader, clad in priest's robes, who they believe has supernatural powers to extinguish life out of anyone. Outnumbered, Lt. Cary Altamonte's group fights for the safety of the civilians. The situation unfolds in a battle of faith."
Small and Terrible (1990),Small and Terrible is a 1990 Filipino comedy film by Regal Films. It starred Roderick Paulate and Manilyn Reynes.
Papa's Girl (1990),Gary Valenciano brings his real-life stardom to the screen where he plays a rock-star. He has a daughter whom his managers keep as a secret from his fans for fear they will abandon him just when things are going well in his career.
Tayo Na Sa Dilim (1990),"A 1990 Filipino drama starring Janice de Belen, Princess Punzalan, and Cherie Gil."
Isang Salop na Bala (1990),A 1990 Filipino action comedy film starring Palito
Alyas Pogi: Birador ng Nueva Ecija (1990),A 1990 Filipino action film starring Ramon Revilla Jr.
Ang Utol Kong Hoodlum (1991),"Behind his bad boy image, Ben (Robin Padilla) has a big heart. The modern day Robinhood collects grease money from jeepney drivers on behalf of the syndicate. He gets a meager amount in return which he uses to feed his adoptive parents whom he loves dearly. One day his boss Salazar (Mark Gil) proposes that he kidnap children who come from wealthy families. The offer would be financially rewarding, but Ben refuses it. Because Salazar is desperate, he kidnaps Ben's loved ones and the only way to redeem them is by abducting Bing (Vina Morales) and her brother."
Maging Sino Ka Man (1991),"Monique is a popular singer disguised as Digna to escape from her stepfather and his stepbrother Gilbert, who slowly killed her mother and also wanted to kill her to seize their wealth. Gilbert and his father thought Monique is already dead until he met Monique in a restaurant as a waitress. Due to this, Gilbert hunts Monique to get her killed. While trying to escape Gilbert's men, she accidentally met Carding, a thief in Ermita with his sidekick Libag. Their love story begins while she stays with Carding's slum along with the kids Carding is taking care of. Gilbert and his father were later caught during police operations and Monique recovered her house and wealth. In the end, Monique keeps Carding's kids in her house and confirmed their love for each other."
Sgt Patalinhug: CIS Special Operations Group (1991),"Director: Jerry O. Tirazona Writers: Erwin T. Lanado, Stanley Orong Stars: Eddie Garcia, Aurora Sevilla, Beverly Vergel, Lani Lobangco, Charlie Davao, Nick Romano, Orestes Ojeda, Dick Israel, Gabriel Romulo, Jessie Delgado, Apple Punzalan, Nathaniel Rivera, Honey Policarpio, Dexter Doria, George Estregan, Efren Reyes Jr."
Dinampot Ka Lang sa Putik (1991),A love triangle involving a young woman who leaves her provincial boyfriend and newborn son to try her luck in Manila. She meets a man who promises to marry her and take care of her son.
Boyong Mañalac: Hoodlum Terminator (1991),"He used to be an outlaw. Now, he is feared by the criminals. Follow this action-filled chapter in the life of Boyong Manalac and witness how he terminates the notorious hoodlums one by one in cold blood. Starring Eddie Garcia, as the hoodlum turned cop. Also stars Edu Manzano, John Regala, Marta Sonano and Pinky De Leon. Eddie Rodriguez directs."
Andrew Ford Medina: Wag kang gamol! (1991),Andrew E movie.
Banana Split (1991),"Joey comes from the provinces to Manilla where he becomes chauffeur to an orphaned heiress who lives with her lawyer and his wife, who are trying to kill her for her money. The lawyer’s wife, the maid, the secretary, and the gay cook all fall in love with the new chauffeur, causing complications. When the heiress is kidnapped, Joey and the heiress’ suitor come to the rescue."
Pitong Gamol (1991),a film by Ben Feleo.
Boy Anghel: Utak Pulburon (1992),"Boy Anghel Utak Pulburon is a 1992 Tagalog-language Action Comedy movie directed by Tony Cruz. Boy anghel utak pulburon stars Vic Sotto, Alice Dixson, Ritchie D'horsie, Paquito Diaz, Lady Lee, Panchito and Aiza Seguerra."
Daddy Goon (1991),"A Philippine comedy starring Paquito Diaz, Herbert Bautista, and Aiza Seguerra."
"True Confessions: Evelyn, Myrna, & Margie (1992)","True Confessions Evelyn, Myrna & Margie is a 1992 Tagalog-language Crime Drama film. True confessions evelyn, myrna & margie features Dina Bonnevie in the lead role along with an ensemble cast including Gabby Concepcion, Eddie Garcia, Richard Gomez, Ruffa Gutierrez, Maricel Laxa and Hilda Koronel."
Mahirap Maging Pogi (1992),"Pording Pogi (Andrew E.) is sought after by every woman in their neighborhood. Running away from all the girls who are dying to be his wife, he decides to look for his cousin Dodong Boogie (Dennis Padilla) in Manila."
Alyas Pogi 2 (1992),"A 1992 Filipino film starring Bong Revilla, Rita Avila, Charito Solis, and Jay Ilagan."
Basagulero (1992),A 1992 Filipino action film starring Ronnie Ricketts and Rachel Lobangco.
Buddy en Sol (Sine ito) (1992),Buddy & Sol join together to solve a murder.
Astig (1993),Terio and Kulas realize that they’ve had enough of the good life and easy money by being con artists. They both know getting out of it won’t be that easy.
Upak Gang (1993),"Upak Gang: Directed by Cesar S.B. Abella. With Dan Fernandez, Jess Lapid Jr., Lito Legaspi, Lovely Rivero."
Teacher... Teacher I Love You (1993),A 1993 Filipino comedy film starring Redford White.
Kung Kailangan Mo Ako (1993),They're two people whose paths are unlikely to cross. She's (Sharon Cuneta) a rich balikbayan who has returned home to do business; he's (Rudy Fernandez) a just released ex-convict who's trying to build a new life. But fate does work in strange ways
Ang Kuya Kong Siga (1993),"Due to an accident, Johnny is forced by his adoptive parents to leave their province. He moves to Manila together with his younger brother Utoy. Johnny is hired to replace Boogey as the driver and bodyguard of Jessica. Rage and envy turned Boogey to Mon (Ramon Christopher) and started working against Jessica's family. Johnny must then find a way to protect the threat to Jessica's life."
Abel Morado: Ikaw Ang May Sala (1993),"Director: Maryo J. de los Reyes Writers: Jose Javier Reyes (story & screenplay), Jake Tordesillas (story & screenplay) Stars: Aga Muhlach, Ruffa Gutierrez, Ana RocesDirector: Maryo J. de los Reyes Writers: Jose Javier Reyes (story & screenplay), Jake Tordesillas (story & screenplay) Stars: Aga Muhlach, Ruffa Gutierrez, Ana Roces"
Maricris Sioson Japayuki (1993),The quest for truth about the plight of a Filipina entertainer who went to Japan for greener pastures and was brought back to Manila dead.
Makati Ave. Office Girls (1993),A story of a diverse group of female office workers who have vastly different professional goals but all share the same desire to be loved.
Kadenang Bulaklak (1993),"Jasmin, Violy, Baby and Daisy are sisters that were separated in their youth."
Manchichiritchit (1993),"A wacky and hilarious misadventures of a trio of swindlers who chance upon Isko, a man from the countryside who is planning to work overseas but duped on his money by the flirty Dorie together with his accomplices Elvis and Ricky. More trouble ensues when they took custody of Don Sebastian's grand daughters, Brenda and Donna when Don Sebastian was killed by his assailants whose life was saved earlier by the swindlers. Now they will run for their lives because the assailants goes after the wealth left behind by Don Sebastian to her granddaughters."
Abrakadabra (1994),"Allading with his sidekicks Baste and Jojit were hired to work for an antique shop owned by the Monteros. One day, Mr Montero brought a hundred year old antique jar from a wrecked ship. While Allading was making the wooden case, the jar was accidentally broken. Two genies were freed from the jar and soon created chaos around the shop blaming everything to Allading. - Written by ledster"
Once Upon A Time In Manila (1994),"Vic Sotto plays a barangay tanod who always seems to have a knack for saving the local folks from dangerous situations at the right moment. Cynthia Luster (Yukari Oshima) is Lt. Cynthia Wang, is a Royal Hong Kong Police on the look-out for Nikita, the infamous gang leader. Amparo Lagman (played by Gloria Sevilla), working as a domestic helper, becomes the unwitting target of the Nikita's gang when she comes into possession of some important documents. Nikita follows her to the Philippines, along with Lt. Cynthia Wang who is in pursuit of Nikita. - Written by ledster"
Binibini Ng Aking Panaginip (1994),"The romance starts with a million peso bet of a rich, handsome bachelor willing to pay his friends if he fails to win a girl within 2 weeks. The girl happens to be Ruffa who holds the key to soften the heart of the bachelor."
Walang Matigas na Pulis sa Matinik na Misis (1994),"Bong Revilla plays Capt. Bartolome “Bart” Renaldo, a tough and honest cop but is very afraid of his wife Gloria (Lani Mercado), who resigned from being a cop to be a plain housewife. And although he is a loyal husband, Bart’s ex-girlfriend Mildred (Plinky Recto) tries so hard to win her back. And now, Bart has a bigger problem with Gloria."
One and Only Star (1994),"Miggy is not an ordinary boy. He grows up as a learning, mentally challenged person. He becomes the center of his brother's life. A psychiatrist gives her time and attention to help Miggy. Together they face the odds and joys of bringing up Miggy in his different world."
Huling Lalaki sa Bitayan (1994),"Director: Cesar S.B. Abella Writers: Cesar S.B. Abella (story), Humilde ‘Meek’ Roxas (screenplay) Stars: John Regala, Jobelle Salvador, Lola Rodriguez, Vida Verde, Alicia Alonzo, Anita Linda, Raul Aragon, Dick Israel, Jose Romulo, Vic Varrion, Jesse Dee, Shanghai, Lovely Mansueto, Nonong De Andres, Edward Lina, Mark Tiongson, Billy Vina, Ramon Recto"
Pare Ko (1995),"A set of happy-go-lucky teenagers struggles to keep the group together as each of them faces various challenges on life, love, friendship, and family."
Alfredo Lim: Batas ng Maynila (1995),"A story based on the life story of Alfredo Lim, who rose from street cop to NBI Director and eventually Mayor of Manila. It speaks of his courageous and never-ending attempts to clean the city of crime and other significant problems."
Escape (1995),"Set during the terrifying reign of Filipino despot, Marcos, two upper caste but very different strangers team up to try and survive the physical and mental torture they undergo after they are suddenly jailed. Geny is the conservative businessman while Serge is more sensitive and outgoing. Both of the young men's parents give all of their money, but the government refuses to free them. Even a mutual hunger strike fails to move their jailers. In desperation, Geny and Serge begin plotting their escape."
Ultracop 2000 (1995),"In the distant year of 2000,two (count them) alien dudes from Mars ""arouse panic"" on the futuristic streets of Manila. Meanwhile a team of futuristic cops (they got headsets) try to bust Drago the drogbaron (a cameo by Melvin Wong). And on the other end of the town a comical gay geezer infected with AIDS try to commit suicide. Somehow these three subplots merge and the laughs begin."
Basta't Kasama Kita (1995),"While escaping her royal confinement, a European princess comes across and falls in love with a jeepney driver. However, things begin to change when her real identity gets revealed."
Sarah... Ang Munting Prinsesa (1995),"Sarah Crewe is the only daughter of the wealthy Capt. Crewe. They are based in India. However, Sarah is sent by her father to a boarding school in England. He gives her a doll named Emily and a young horse. Because of Sarah’s charm and innate kindness, she instantly earns popularity in school. She is also an excellent student and a good friend to everyone, including Becky, a maid. However on Sarah's birthday, she learns that her father gets killed in the war. Suddenly, Miss Minchin’s fondness to her turns into meanness. She takes all of Sarah’s possession and throws her out of her room to join Becky in the attic. From being a princess, Sarah turns into a maid. Despite the tragedy that happens to her Sarah, maintains her good girl disposition and keeps her positive outlook in life. But will someone save her from her miseries?"
Batang-X (1995),Batang X is a 1995 Filipino film released under Regal Films. The film is about 5 children with superhuman abilities who get kidnapped by the alien Dr. Axis to help her steal sources of energy for her spaceship.
Patayin sa Sindak si Barbara (1995),Barbara loves her little sister Ruth deeply. When Ruth becomes devilishly manipulative by threatening to kill herself if her sister doesn't break up with her boyfriend Nick . The sisters end up engaging in black magic to get back at each other.
Ang Titser Kong Pogi (1995),"Joey Perez, a policeman goes to Subic as a Kindergarten teacher to secretly investigate the case where he was framed up. He becomes attached to Cynthia, a co-teacher and Jimbo, his student—both relatives of his suspect. Joey has to protect himself and the children to prove his innocence once and for all."
Boy! Gising! (1995),"Vandolph plays big city streetwise kid who shacks up with a bunch of other kids like him in a makeshift home, hull of a bus, where Totoy (Babalu) lords over them as a surrogate date. Together they do their shenanigans that almost always end up in the craziest of misadventures. Until a band of underworld gangsters discover Boy's potential in one of their rackets - as a boy sumo wrestler. The kid obliges. The adventure heightens as Boy, Totoy and their cohorts go up against the bad guys in the wackiest chase ever!"
Dahas (1995),"Luisa is raped by an unknown assailant a few nights before she is wed to Jake. When Jake discovers Luisa's prenuptial chastity is in question on their first night, violent events unfold. Poor Luisa is a battered victim and reacts chillingly. Tit for tat. Fire against fire. Dreams become nightmares, love turns to rage."
Batang Z (1996),A Filipino kids movie directed Bey Vito
"Ama, Ina, Anak (1996)","A married couple decides to adopt a baby girl and raise her as their own, but internal family problems arise when the two are blessed with a biological child."
Milyonaryong Mini (1996),A case of mistaken identity which shows the Philippines' social classes between the rich and the poor. A sitcom remake was aired ten years later in 2006.
In My Own Hands (1996),"A serial killer preying on unfaithful wives sets his eyes on an investigator's wife.The culprit is a debonair director, whose compulsion to prey on married women stems from a deep psychological trauma."
Istokwa (1996),Two teenage boys escape from their mothers and embark a journey that turns into a misadventure leading to self-discovery about themselves.
Wanted: Perfect Mother (1996),"A 30-year-old widower realizes that his three children need a mother figure. His youngest daughter feels lonely and finds it hard to cope with schooling. He scouts around for a tutor for his daughter, someone who could also act as her playmate and friend. The lady who arrives -- a cheerful singer and tutor -- brings light to their home lives."
Cedie (1996),"An Earl disowns his son James for marrying Annie, a middle-class woman. The couple leaves England to start a life in New York with their son newborn child Cedie."
Bayarang Puso (1996),"Jose Javier Reyes' dramatic thunderbolt from Regal Films, ""Bayarang Puso"" which stars Aga Muhlach, Lorna Tolentino, and Carmina Villaroel is a movie about decadence and materialism set against a backdrop of the most recent leisure class craze, ballroom dancing. Although the film makes obviously wild pirouettes around this very interesting subject-dance instructors and their willing and able clientele and whatever relationships they have in between- it is in fact an intriguing drama about love, avarice, and betrayal."
Do Re Mi (1996),"Three girls divided by personalities, cultural backgrounds and principles have one thing in common, their love for music."
